te_id	species	chrom	te_start	te_end	te_class	te_subclass
Populus_euphratica|Chr12:10745797-10747380|LTR_233-int	Populus_euphratica	Chr12	10745797	10747380	LTR	LTR/Gypsy
Populus_euphratica|Chr13:2160399-2160764|TIR_49	Populus_euphratica	Chr13	2160399	2160764	TIR	DNA/TcMar
Populus_euphratica|Chr13:2161372-2161500|TIR_38	Populus_euphratica	Chr13	2161372	2161500	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr13:4081956-4082014|LTR_335-int	Populus_euphratica	Chr13	4081956	4082014	LTR	LTR/Copia
Populus_euphratica|Chr13:4084673-4084972|TIR_25	Populus_euphratica	Chr13	4084673	4084972	TIR	DNA/TcMar
Populus_euphratica|Chr13:4085252-4085791|LTR_63-LTR	Populus_euphratica	Chr13	4085252	4085791	LTR	LTR/Gypsy
Populus_euphratica|Chr13:8428232-8429355|LTR_25-LTR	Populus_euphratica	Chr13	8428232	8429355	LTR	LTR/ERV
Populus_euphratica|Chr13:8436076-8436119|LTR_280-int	Populus_euphratica	Chr13	8436076	8436119	LTR	LTR/Copia
Populus_euphratica|Chr13:8436306-8436416|TIR_37	Populus_euphratica	Chr13	8436306	8436416	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr13:8436906-8437871|LTR_280-int	Populus_euphratica	Chr13	8436906	8437871	LTR	LTR/Copia
Populus_euphratica|Chr13:16429202-16431225|LTR_338-int	Populus_euphratica	Chr13	16429202	16431225	LTR	LTR/Gypsy
Populus_euphratica|Chr13:20003308-20004109|LTR_246-int	Populus_euphratica	Chr13	20003308	20004109	TIR	DNA/TcMar
Populus_euphratica|Chr13:20003740-20004363|LTR_63-LTR	Populus_euphratica	Chr13	20003740	20004363	LTR	LTR/Gypsy
Populus_euphratica|Chr13:20009510-20011968|TIR_27	Populus_euphratica	Chr13	20009510	20011968	LTR	LTR/Gypsy
Populus_euphratica|Chr13:25301313-25301485|TIR_38	Populus_euphratica	Chr13	25301313	25301485	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr13:25302536-25302623|TIR_36	Populus_euphratica	Chr13	25302536	25302623	TIR	DNA/TcMar
Populus_euphratica|Chr13:25302555-25302799|TIR_24	Populus_euphratica	Chr13	25302555	25302799	TIR	DNA/other
Populus_euphratica|Chr13:25303611-25303936|TIR_42	Populus_euphratica	Chr13	25303611	25303936	TIR	DNA/hAT
Populus_euphratica|Chr14:18605567-18605770|TIR_44	Populus_euphratica	Chr14	18605567	18605770	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr15:2004620-2004742|TIR_53	Populus_euphratica	Chr15	2004620	2004742	TIR	DNA/MULE
Populus_euphratica|Chr15:2007724-2007995|LTR_332-int	Populus_euphratica	Chr15	2007724	2007995	LTR	LTR/Gypsy
Populus_euphratica|Chr15:2007995-2008232|LTR_332-int	Populus_euphratica	Chr15	2007995	2008232	LTR	LTR/Gypsy
Populus_euphratica|Chr15:2008232-2008783|LTR_332-int	Populus_euphratica	Chr15	2008232	2008783	LTR	LTR/Gypsy
Populus_euphratica|Chr15:7811130-7811297|TIR_38	Populus_euphratica	Chr15	7811130	7811297	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr15:7811858-7812562|TIR_39	Populus_euphratica	Chr15	7811858	7812562	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr15:7814646-7814865|LTR_260-int	Populus_euphratica	Chr15	7814646	7814865	TIR	DNA/TcMar
Populus_euphratica|Chr15:7814859-7815946|LTR_257-int	Populus_euphratica	Chr15	7814859	7815946	LTR	LTR/Gypsy
Populus_euphratica|Chr15:20904802-20905117|TIR_49	Populus_euphratica	Chr15	20904802	20905117	TIR	DNA/TcMar
Populus_euphratica|Chr15:20905379-20905759|TIR_2	Populus_euphratica	Chr15	20905379	20905759	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr16:1379760-1379885|TIR_8	Populus_euphratica	Chr16	1379760	1379885	TIR	DNA/hAT
Populus_euphratica|Chr16:2018047-2018209|TIR_38	Populus_euphratica	Chr16	2018047	2018209	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr16:2024173-2024361|Denovo_Non_LTR_5	Populus_euphratica	Chr16	2024173	2024361	non-LTR	SINE/tRNA
Populus_euphratica|Chr16:2026520-2026813|TIR_39	Populus_euphratica	Chr16	2026520	2026813	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr16:2027810-2028159|TIR_49	Populus_euphratica	Chr16	2027810	2028159	TIR	DNA/TcMar
Populus_euphratica|Chr16:13785863-13786280|TIR_49	Populus_euphratica	Chr16	13785863	13786280	TIR	DNA/TcMar
Populus_euphratica|Chr17:1643253-1643475|TIR_24	Populus_euphratica	Chr17	1643253	1643475	TIR	DNA/other
Populus_euphratica|Chr17:1644581-1645043|LTR_47-LTR	Populus_euphratica	Chr17	1644581	1645043	LTR	LTR/Copia
Populus_euphratica|Chr17:1645043-1649808|LTR_238-int	Populus_euphratica	Chr17	1645043	1649808	LTR	LTR/Copia
Populus_euphratica|Chr19:5215840-5216006|TIR_38	Populus_euphratica	Chr19	5215840	5216006	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr2:2018554-2018735|TIR_38	Populus_euphratica	Chr2	2018554	2018735	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr2:2019882-2019998|TIR_25	Populus_euphratica	Chr2	2019882	2019998	TIR	DNA/TcMar
Populus_euphratica|Chr2:17512986-17513158|LTR_164-LTR	Populus_euphratica	Chr2	17512986	17513158	LTR	LTR/Gypsy
Populus_euphratica|Chr3:21332724-21332876|TIR_38	Populus_euphratica	Chr3	21332724	21332876	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr4:7035087-7036726|LTR_31-LTR	Populus_euphratica	Chr4	7035087	7036726	LTR	LTR/Gypsy
Populus_euphratica|Chr4:7036726-7037305|LTR_297-int	Populus_euphratica	Chr4	7036726	7037305	LTR	LTR/Copia
Populus_euphratica|Chr4:7037583-7037783|LTR_329-int	Populus_euphratica	Chr4	7037583	7037783	LTR	LTR/Copia
Populus_euphratica|Chr4:33769166-33769922|TIR_39	Populus_euphratica	Chr4	33769166	33769922	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr4:35296362-35296553|Denovo_Non_LTR_5	Populus_euphratica	Chr4	35296362	35296553	non-LTR	SINE/tRNA
Populus_euphratica|Chr4:35296639-35297364|TIR_39	Populus_euphratica	Chr4	35296639	35297364	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr4:35298537-35298719|TIR_44	Populus_euphratica	Chr4	35298537	35298719	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr5:5818398-5818595|Denovo_Non_LTR_1	Populus_euphratica	Chr5	5818398	5818595	non-LTR	SINE/tRNA
Populus_euphratica|Chr5:5818500-5818614|LTR_322-int	Populus_euphratica	Chr5	5818500	5818614	non-LTR	LINE/L1
Populus_euphratica|Chr5:28909923-28910010|TIR_44	Populus_euphratica	Chr5	28909923	28910010	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr5:28910491-28910584|Denovo_Non_LTR_3	Populus_euphratica	Chr5	28910491	28910584	non-LTR	SINE/tRNA
Populus_euphratica|Chr6:3344277-3344541|LTR_51-LTR	Populus_euphratica	Chr6	3344277	3344541	LTR	LTR/Gypsy
Populus_euphratica|Chr6:3344716-3345342|LTR_51-LTR	Populus_euphratica	Chr6	3344716	3345342	LTR	LTR/Gypsy
Populus_euphratica|Chr6:3345991-3346345|TIR_1	Populus_euphratica	Chr6	3345991	3346345	TIR	DNA/hAT
Populus_euphratica|Chr6:5625304-5625450|TIR_38	Populus_euphratica	Chr6	5625304	5625450	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr7:2966148-2966695|LTR_332-int	Populus_euphratica	Chr7	2966148	2966695	LTR	LTR/Gypsy
Populus_euphratica|Chr7:2966790-2966944|TIR_22	Populus_euphratica	Chr7	2966790	2966944	TIR	DNA/hAT
Populus_euphratica|Chr7:4749229-4749298|LTR_69-LTR	Populus_euphratica	Chr7	4749229	4749298	LTR	LTR/Gypsy
Populus_euphratica|Chr7:4749327-4749499|LTR_69-LTR	Populus_euphratica	Chr7	4749327	4749499	LTR	LTR/Gypsy
Populus_euphratica|Chr7:16590299-16590412|LTR_250-int	Populus_euphratica	Chr7	16590299	16590412	LTR	LTR/Gypsy
Populus_euphratica|Chr7:21630752-21631135|TIR_2	Populus_euphratica	Chr7	21630752	21631135	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr7:21635663-21636477|TIR_19	Populus_euphratica	Chr7	21635663	21636477	TIR	DNA/hAT
Populus_euphratica|Chr8:8270588-8270903|TIR_45	Populus_euphratica	Chr8	8270588	8270903	TIR	DNA/TcMar
Populus_euphratica|Chr8:8271060-8271208|TIR_45	Populus_euphratica	Chr8	8271060	8271208	TIR	DNA/TcMar
Populus_euphratica|Chr8:11458609-11459168|TIR_22	Populus_euphratica	Chr8	11458609	11459168	TIR	DNA/hAT
Populus_euphratica|Chr8:11459164-11459980|TIR_39	Populus_euphratica	Chr8	11459164	11459980	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr8:11460007-11460473|TIR_22	Populus_euphratica	Chr8	11460007	11460473	TIR	DNA/hAT
Populus_euphratica|Chr8:11460605-11461214|TIR_22	Populus_euphratica	Chr8	11460605	11461214	TIR	DNA/hAT
Populus_euphratica|Chr9:2559792-2560373|TIR_39	Populus_euphratica	Chr9	2559792	2560373	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr9:6553331-6553612|LTR_241-int	Populus_euphratica	Chr9	6553331	6553612	LTR	LTR/Gypsy
Populus_euphratica|Chr9:8741293-8741484|TIR_44	Populus_euphratica	Chr9	8741293	8741484	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr9:8741529-8741732|TIR_38	Populus_euphratica	Chr9	8741529	8741732	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr9:19383143-19383269|TIR_38	Populus_euphratica	Chr9	19383143	19383269	TIR	DNA/PIF-Harbinger
Populus_euphratica|Chr9:19387194-19387321|TIR_2	Populus_euphratica	Chr9	19387194	19387321	TIR	DNA/PIF-Harbinger
Populus_euphratica|Scaffold_000581:15879-17517|LTR_267-int	Populus_euphratica	Scaffold_000581	15879	17517	LTR	LTR/Copia
Populus_ilicifolia|Chr1:362284-362497|TIR_17	Populus_ilicifolia	Chr1	362284	362497	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr1:363079-363292|TIR_17	Populus_ilicifolia	Chr1	363079	363292	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr1:363792-363968|TIR_4	Populus_ilicifolia	Chr1	363792	363968	TIR	DNA/TcMar
Populus_ilicifolia|Chr1:1548412-1548570|TIR_18	Populus_ilicifolia	Chr1	1548412	1548570	TIR	DNA/TcMar
Populus_ilicifolia|Chr1:2366615-2366689|LTR_187-int	Populus_ilicifolia	Chr1	2366615	2366689	LTR	LTR/Copia
Populus_ilicifolia|Chr1:10658185-10658209|LTR_186-int	Populus_ilicifolia	Chr1	10658185	10658209	LTR	LTR/Copia
Populus_ilicifolia|Chr1:10658209-10658332|TIR_17	Populus_ilicifolia	Chr1	10658209	10658332	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr1:13599787-13600265|LTR_194-int	Populus_ilicifolia	Chr1	13599787	13600265	LTR	LTR/Copia
Populus_ilicifolia|Chr1:37520178-37520303|TIR_41	Populus_ilicifolia	Chr1	37520178	37520303	LTR	LTR/Gypsy
Populus_ilicifolia|Chr10:397710-397808|TIR_9	Populus_ilicifolia	Chr10	397710	397808	TIR	DNA/CMC-EnSpm
Populus_ilicifolia|Chr10:403993-404137|TIR_38	Populus_ilicifolia	Chr10	403993	404137	LTR	LTR/Gypsy
Populus_ilicifolia|Chr10:404179-405600|TIR_48	Populus_ilicifolia	Chr10	404179	405600	LTR	LTR/Gypsy
Populus_ilicifolia|Chr10:13871277-13871455|Denovo_Non_LTR_7	Populus_ilicifolia	Chr10	13871277	13871455	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr10:20312722-20312863|TIR_4	Populus_ilicifolia	Chr10	20312722	20312863	TIR	DNA/TcMar
Populus_ilicifolia|Chr10:20322592-20322806|Denovo_Non_LTR_7	Populus_ilicifolia	Chr10	20322592	20322806	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr10:20327886-20328071|TIR_4	Populus_ilicifolia	Chr10	20327886	20328071	TIR	DNA/TcMar
Populus_ilicifolia|Chr13:2929222-2929399|TIR_4	Populus_ilicifolia	Chr13	2929222	2929399	TIR	DNA/TcMar
Populus_ilicifolia|Chr13:2929454-2929578|TIR_4	Populus_ilicifolia	Chr13	2929454	2929578	TIR	DNA/TcMar
Populus_ilicifolia|Chr13:8930547-8930670|TIR_3	Populus_ilicifolia	Chr13	8930547	8930670	TIR	DNA/hAT
Populus_ilicifolia|Chr13:8932974-8933277|TIR_39	Populus_ilicifolia	Chr13	8932974	8933277	TIR	DNA/MULE
Populus_ilicifolia|Chr13:15033852-15033991|TIR_4	Populus_ilicifolia	Chr13	15033852	15033991	TIR	DNA/TcMar
Populus_ilicifolia|Chr14:309854-310108|TIR_1	Populus_ilicifolia	Chr14	309854	310108	TIR	DNA/other
Populus_ilicifolia|Chr14:310501-310697|Denovo_Non_LTR_6	Populus_ilicifolia	Chr14	310501	310697	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr14:5934647-5934810|TIR_15	Populus_ilicifolia	Chr14	5934647	5934810	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr14:5938659-5938782|TIR_31	Populus_ilicifolia	Chr14	5938659	5938782	TIR	DNA/hAT
Populus_ilicifolia|Chr14:5938683-5938873|LTR_186-int	Populus_ilicifolia	Chr14	5938683	5938873	LTR	LTR/Copia
Populus_ilicifolia|Chr14:5939037-5939209|TIR_4	Populus_ilicifolia	Chr14	5939037	5939209	TIR	DNA/TcMar
Populus_ilicifolia|Chr14:7957119-7957270|TIR_4	Populus_ilicifolia	Chr14	7957119	7957270	TIR	DNA/TcMar
Populus_ilicifolia|Chr14:7960367-7960531|TIR_4	Populus_ilicifolia	Chr14	7960367	7960531	TIR	DNA/TcMar
Populus_ilicifolia|Chr14:7960632-7960810|TIR_4	Populus_ilicifolia	Chr14	7960632	7960810	TIR	DNA/TcMar
Populus_ilicifolia|Chr15:5637509-5637798|TIR_20	Populus_ilicifolia	Chr15	5637509	5637798	LTR	LTR/ERV
Populus_ilicifolia|Chr16:1388641-1388732|LTR_187-int	Populus_ilicifolia	Chr16	1388641	1388732	LTR	LTR/Copia
Populus_ilicifolia|Chr16:1389201-1389354|LTR_64-LTR	Populus_ilicifolia	Chr16	1389201	1389354	LTR	LTR/Gypsy
Populus_ilicifolia|Chr18:1931711-1931852|TIR_4	Populus_ilicifolia	Chr18	1931711	1931852	TIR	DNA/TcMar
Populus_ilicifolia|Chr18:1932965-1933536|TIR_12	Populus_ilicifolia	Chr18	1932965	1933536	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:1968507-1968695|TIR_4	Populus_ilicifolia	Chr2	1968507	1968695	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:2845805-2845999|Denovo_Non_LTR_7	Populus_ilicifolia	Chr2	2845805	2845999	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr2:6456973-6457032|TIR_29	Populus_ilicifolia	Chr2	6456973	6457032	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:6457923-6458132|Denovo_Non_LTR_4	Populus_ilicifolia	Chr2	6457923	6458132	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr2:6458198-6458331|LTR_186-int	Populus_ilicifolia	Chr2	6458198	6458331	LTR	LTR/Copia
Populus_ilicifolia|Chr2:6458331-6458347|TIR_4	Populus_ilicifolia	Chr2	6458331	6458347	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:8689169-8689361|Denovo_Non_LTR_6	Populus_ilicifolia	Chr2	8689169	8689361	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr2:8690387-8690500|TIR_4	Populus_ilicifolia	Chr2	8690387	8690500	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:9372611-9372779|TIR_2	Populus_ilicifolia	Chr2	9372611	9372779	TIR	DNA/hAT
Populus_ilicifolia|Chr2:9372813-9372908|TIR_3	Populus_ilicifolia	Chr2	9372813	9372908	TIR	DNA/hAT
Populus_ilicifolia|Chr2:9372934-9373130|TIR_4	Populus_ilicifolia	Chr2	9372934	9373130	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:12493515-12493605|TIR_12	Populus_ilicifolia	Chr2	12493515	12493605	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:12493605-12493932|TIR_15	Populus_ilicifolia	Chr2	12493605	12493932	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr2:15383926-15384093|TIR_4	Populus_ilicifolia	Chr2	15383926	15384093	TIR	DNA/TcMar
Populus_ilicifolia|Chr2:15387181-15387379|Denovo_Non_LTR_6	Populus_ilicifolia	Chr2	15387181	15387379	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr3:11121244-11121436|TIR_18	Populus_ilicifolia	Chr3	11121244	11121436	TIR	DNA/TcMar
Populus_ilicifolia|Chr3:19025521-19025718|TIR_4	Populus_ilicifolia	Chr3	19025521	19025718	TIR	DNA/TcMar
Populus_ilicifolia|Chr4:11016946-11017480|LTR_56-LTR	Populus_ilicifolia	Chr4	11016946	11017480	LTR	LTR/Copia
Populus_ilicifolia|Chr4:16375158-16375336|TIR_4	Populus_ilicifolia	Chr4	16375158	16375336	TIR	DNA/TcMar
Populus_ilicifolia|Chr4:16375336-16375386|LTR_186-int	Populus_ilicifolia	Chr4	16375336	16375386	LTR	LTR/Copia
Populus_ilicifolia|Chr4:18311442-18312055|TIR_12	Populus_ilicifolia	Chr4	18311442	18312055	TIR	DNA/TcMar
Populus_ilicifolia|Chr4:18817658-18817804|LTR_186-int	Populus_ilicifolia	Chr4	18817658	18817804	LTR	LTR/Copia
Populus_ilicifolia|Chr4:22752614-22752792|LTR_187-int	Populus_ilicifolia	Chr4	22752614	22752792	LTR	LTR/Copia
Populus_ilicifolia|Chr5:2735626-2735806|Denovo_Non_LTR_7	Populus_ilicifolia	Chr5	2735626	2735806	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr5:2742055-2742745|LTR_56-LTR	Populus_ilicifolia	Chr5	2742055	2742745	LTR	LTR/Copia
Populus_ilicifolia|Chr5:4983505-4983689|Denovo_Non_LTR_7	Populus_ilicifolia	Chr5	4983505	4983689	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr5:4986239-4986373|LTR_186-int	Populus_ilicifolia	Chr5	4986239	4986373	LTR	LTR/Copia
Populus_ilicifolia|Chr5:7928545-7928809|TIR_5	Populus_ilicifolia	Chr5	7928545	7928809	TIR	DNA/other
Populus_ilicifolia|Chr5:7931022-7931128|TIR_4	Populus_ilicifolia	Chr5	7931022	7931128	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:7931046-7931145|TIR_7	Populus_ilicifolia	Chr5	7931046	7931145	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:8630254-8630473|TIR_17	Populus_ilicifolia	Chr5	8630254	8630473	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr5:18543889-18543980|TIR_33	Populus_ilicifolia	Chr5	18543889	18543980	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:18544014-18544215|TIR_33	Populus_ilicifolia	Chr5	18544014	18544215	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:18548879-18549166|TIR_12	Populus_ilicifolia	Chr5	18548879	18549166	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:18786505-18786635|TIR_4	Populus_ilicifolia	Chr5	18786505	18786635	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:18787759-18787865|TIR_31	Populus_ilicifolia	Chr5	18787759	18787865	TIR	DNA/hAT
Populus_ilicifolia|Chr5:21848515-21848639|LTR_186-int	Populus_ilicifolia	Chr5	21848515	21848639	LTR	LTR/Copia
Populus_ilicifolia|Chr5:21851074-21851256|TIR_4	Populus_ilicifolia	Chr5	21851074	21851256	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:23592733-23592894|TIR_12	Populus_ilicifolia	Chr5	23592733	23592894	TIR	DNA/TcMar
Populus_ilicifolia|Chr5:23592837-23592996|TIR_15	Populus_ilicifolia	Chr5	23592837	23592996	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr5:23592896-23593649|TIR_12	Populus_ilicifolia	Chr5	23592896	23593649	TIR	DNA/TcMar
Populus_ilicifolia|Chr6:1964562-1964675|TIR_4	Populus_ilicifolia	Chr6	1964562	1964675	TIR	DNA/TcMar
Populus_ilicifolia|Chr6:3936895-3937198|TIR_9	Populus_ilicifolia	Chr6	3936895	3937198	TIR	DNA/CMC-EnSpm
Populus_ilicifolia|Chr6:3937440-3937584|TIR_38	Populus_ilicifolia	Chr6	3937440	3937584	LTR	LTR/Gypsy
Populus_ilicifolia|Chr6:5928155-5928259|TIR_4	Populus_ilicifolia	Chr6	5928155	5928259	TIR	DNA/TcMar
Populus_ilicifolia|Chr6:23390790-23391186|TIR_12	Populus_ilicifolia	Chr6	23390790	23391186	TIR	DNA/TcMar
Populus_ilicifolia|Chr6:25029397-25030492|TIR_15	Populus_ilicifolia	Chr6	25029397	25030492	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr7:498105-499504|TIR_20	Populus_ilicifolia	Chr7	498105	499504	LTR	LTR/ERV
Populus_ilicifolia|Chr7:499464-499627|TIR_38	Populus_ilicifolia	Chr7	499464	499627	LTR	LTR/Gypsy
Populus_ilicifolia|Chr7:499515-499659|LTR_174-int	Populus_ilicifolia	Chr7	499515	499659	LTR	LTR/Copia
Populus_ilicifolia|Chr7:10347157-10347268|LTR_186-int	Populus_ilicifolia	Chr7	10347157	10347268	LTR	LTR/Copia
Populus_ilicifolia|Chr7:10349474-10349626|TIR_12	Populus_ilicifolia	Chr7	10349474	10349626	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10350909-10351039|LTR_186-int	Populus_ilicifolia	Chr7	10350909	10351039	LTR	LTR/Copia
Populus_ilicifolia|Chr7:10351712-10351784|TIR_4	Populus_ilicifolia	Chr7	10351712	10351784	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10352366-10352538|TIR_16	Populus_ilicifolia	Chr7	10352366	10352538	TIR	DNA/other
Populus_ilicifolia|Chr7:10352538-10352602|TIR_5	Populus_ilicifolia	Chr7	10352538	10352602	TIR	DNA/other
Populus_ilicifolia|Chr7:10355923-10356093|TIR_4	Populus_ilicifolia	Chr7	10355923	10356093	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10356712-10358322|TIR_20	Populus_ilicifolia	Chr7	10356712	10358322	LTR	LTR/ERV
Populus_ilicifolia|Chr7:10359269-10359356|TIR_4	Populus_ilicifolia	Chr7	10359269	10359356	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10362832-10362967|TIR_4	Populus_ilicifolia	Chr7	10362832	10362967	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10370118-10370293|Denovo_Non_LTR_6	Populus_ilicifolia	Chr7	10370118	10370293	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr7:10372757-10372838|TIR_18	Populus_ilicifolia	Chr7	10372757	10372838	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10376281-10376471|TIR_4	Populus_ilicifolia	Chr7	10376281	10376471	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10377156-10377973|TIR_20	Populus_ilicifolia	Chr7	10377156	10377973	LTR	LTR/ERV
Populus_ilicifolia|Chr7:10377991-10378057|TIR_38	Populus_ilicifolia	Chr7	10377991	10378057	LTR	LTR/Gypsy
Populus_ilicifolia|Chr7:10380554-10380694|TIR_4	Populus_ilicifolia	Chr7	10380554	10380694	TIR	DNA/TcMar
Populus_ilicifolia|Chr7:10386397-10386588|TIR_4	Populus_ilicifolia	Chr7	10386397	10386588	TIR	DNA/TcMar
Populus_ilicifolia|Chr8:799945-800581|TIR_12	Populus_ilicifolia	Chr8	799945	800581	TIR	DNA/TcMar
Populus_ilicifolia|Chr8:6632181-6632379|TIR_5	Populus_ilicifolia	Chr8	6632181	6632379	TIR	DNA/other
Populus_ilicifolia|Chr8:7485167-7485326|TIR_4	Populus_ilicifolia	Chr8	7485167	7485326	TIR	DNA/TcMar
Populus_ilicifolia|Chr9:3146819-3147333|TIR_21	Populus_ilicifolia	Chr9	3146819	3147333	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr9:3147398-3147530|TIR_21	Populus_ilicifolia	Chr9	3147398	3147530	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr9:7145368-7145540|TIR_4	Populus_ilicifolia	Chr9	7145368	7145540	TIR	DNA/TcMar
Populus_ilicifolia|Chr9:7145547-7145741|TIR_17	Populus_ilicifolia	Chr9	7145547	7145741	TIR	DNA/PIF-Harbinger
Populus_ilicifolia|Chr9:7154632-7154719|Denovo_Non_LTR_3	Populus_ilicifolia	Chr9	7154632	7154719	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr9:7154755-7154942|Denovo_Non_LTR_6	Populus_ilicifolia	Chr9	7154755	7154942	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr9:8853351-8853547|Denovo_Non_LTR_2	Populus_ilicifolia	Chr9	8853351	8853547	non-LTR	SINE/tRNA
Populus_ilicifolia|Chr9:10431296-10431331|LTR_3-LTR	Populus_ilicifolia	Chr9	10431296	10431331	LTR	LTR/Copia
Populus_ilicifolia|Chr9:10955948-10956135|TIR_4	Populus_ilicifolia	Chr9	10955948	10956135	TIR	DNA/TcMar
Populus_koreana|Chr1:11258239-11258700|LTR_644-int	Populus_koreana	Chr1	11258239	11258700	LTR	LTR/Copia
Populus_koreana|Chr1:11258751-11258928|LTR_644-int	Populus_koreana	Chr1	11258751	11258928	LTR	LTR/Copia
Populus_koreana|Chr1:11259050-11259122|TIR_138	Populus_koreana	Chr1	11259050	11259122	TIR	DNA/CMC-EnSpm
Populus_koreana|Chr1:11618232-11618485|TIR_138	Populus_koreana	Chr1	11618232	11618485	TIR	DNA/CMC-EnSpm
Populus_koreana|Chr1:11618264-11618561|LTR_644-int	Populus_koreana	Chr1	11618264	11618561	LTR	LTR/Copia
Populus_koreana|Chr1:28161612-28162167|TIR_138	Populus_koreana	Chr1	28161612	28162167	TIR	DNA/CMC-EnSpm
Populus_koreana|Chr1:37023309-37024028|LTR_754-int	Populus_koreana	Chr1	37023309	37024028	LTR	LTR/Copia
Populus_koreana|Chr1:40013774-40013862|LTR_644-int	Populus_koreana	Chr1	40013774	40013862	LTR	LTR/Copia
Populus_koreana|Chr1:40013862-40014028|TIR_145	Populus_koreana	Chr1	40013862	40014028	TIR	DNA/hAT
Populus_koreana|Chr1:40014510-40014791|TIR_19	Populus_koreana	Chr1	40014510	40014791	TIR	DNA/hAT
Populus_koreana|Chr1:40014791-40014895|Denovo_Non_LTR_10	Populus_koreana	Chr1	40014791	40014895	TIR	DNA/TcMar
Populus_koreana|Chr1:40015984-40016139|Denovo_Non_LTR_14	Populus_koreana	Chr1	40015984	40016139	LTR	LTR/other
Populus_koreana|Chr1:40016139-40016158|TIR_44	Populus_koreana	Chr1	40016139	40016158	TIR	DNA/PIF-Harbinger
Populus_koreana|Chr1:40022568-40023267|TIR_138	Populus_koreana	Chr1	40022568	40023267	TIR	DNA/CMC-EnSpm
Populus_koreana|Chr1:45116095-45116216|TIR_37	Populus_koreana	Chr1	45116095	45116216	non-LTR	LINE/L1
Populus_koreana|Chr1:45120531-45121018|LTR_644-int	Populus_koreana	Chr1	45120531	45121018	LTR	LTR/Copia
