Orthogroup	Populus_adenopoda	Populus_alba	Populus_alba_var__pyramidalis	Populus_davidiana	Populus_deltoide	Populus_euphratica	Populus_ilicifolia	Populus_koreana	Populus_lasiocarpa	Populus_pruinosa	Populus_pseudoglauca	Populus_qiongdaoensis	Populus_rotundifolia	Populus_simonii	Populus_szechuanica	Populus_tremula	Populus_trichocarpa	Populus_wuana	Populus_yunnanensis
OG0000031	Populus_adenopoda__Poade03264.t1	Populus_alba__KAL3609676.1	Populus_alba_var__pyramidalis__Poalv03825.t1	Populus_davidiana__Podav00889.t2	Populus_deltoide__Podel.01G081100.1.v2.1	Populus_euphratica__Poeup03820.t1	Populus_ilicifolia__evm.model.scaffold82_cov102.105	Populus_koreana__Pokor03773.t1	Populus_lasiocarpa__Polas00786.t3	Populus_pruinosa__PprTF01G0624.1	Populus_pseudoglauca__Popse03871.t1	Populus_qiongdaoensis__Poqio04355.t1	Populus_rotundifolia__Porot00761.t1	Populus_simonii__Posim04209.t1	Populus_szechuanica__Posze00822.t1	Populus_tremula__Potra2n1c627.1	Populus_trichocarpa__Potri.001G077900.3.v4.1	Populus_wuana__Powua00746.t1	Populus_yunnanensis__Poyun00734.t1
OG0000032	Populus_adenopoda__Poade04191.t1	Populus_alba__KAL3585141.1	Populus_alba_var__pyramidalis__Poalv04897.t1	Populus_davidiana__Podav09618.t1	Populus_deltoide__Podel.06G028300.1.v2.1, Populus_deltoide__Podel.T273900.1.v2.1		Populus_ilicifolia__evm.model.scaffold894_cov107.19	Populus_koreana__Pokor04704.t2	Populus_lasiocarpa__Polas07347.t1	Populus_pruinosa__PprTF06G0192.1	Populus_pseudoglauca__Popse04944.t2	Populus_qiongdaoensis__Poqio18289.t1, Populus_qiongdaoensis__Poqio18290.t1	Populus_rotundifolia__Porot07125.t2	Populus_simonii__Posim05549.t1	Populus_szechuanica__Posze07373.t3	Populus_tremula__Potra2n6c15166.1	Populus_trichocarpa__Potri.006G025800.2.v4.1	Populus_wuana__Powua06988.t1	
OG0000033	Populus_adenopoda__Poade04249.t1	Populus_alba__KAL3585192.1	Populus_alba_var__pyramidalis__Poalv04962.t1	Populus_davidiana__Podav09558.t1	Populus_deltoide__Podel.06G035100.1.v2.1	Populus_euphratica__Poeup25318.t1	Populus_ilicifolia__evm.model.scaffold894_cov107.82	Populus_koreana__Pokor04768.t1	Populus_lasiocarpa__Polas07281.t1	Populus_pruinosa__PprTF06G0248.1	Populus_pseudoglauca__Popse05016.t1	Populus_qiongdaoensis__Poqio18216.t1	Populus_rotundifolia__Porot07183.t1	Populus_simonii__Posim05607.t1	Populus_szechuanica__Posze07311.t1	Populus_tremula__Potra2n6c15115.1	Populus_trichocarpa__Potri.006G034500.1.v4.1	Populus_wuana__Powua06928.t1	Populus_yunnanensis__Poyun07305.t1
OG0000034	Populus_adenopoda__Poade04471.t1	Populus_alba__KAL3585398.1	Populus_alba_var__pyramidalis__Poalv05236.t1	Populus_davidiana__Podav09329.t1	Populus_deltoide__Podel.06G061000.1.v2.1	Populus_euphratica__Poeup25547.t1	Populus_ilicifolia__evm.model.scaffold258_cov104.68	Populus_koreana__Pokor05001.t1	Populus_lasiocarpa__Polas07024.t1	Populus_pruinosa__PprTF06G0476.1	Populus_pseudoglauca__Popse05248.t2	Populus_qiongdaoensis__Poqio17942.t1	Populus_rotundifolia__Porot07418.t1	Populus_simonii__Posim05853.t1	Populus_szechuanica__Posze07069.t1	Populus_tremula__Potra2n6c14875.1	Populus_trichocarpa__Potri.006G058800.4.v4.1	Populus_wuana__Powua06688.t1	Populus_yunnanensis__Poyun07052.t1
OG0000035	Populus_adenopoda__Poade06358.t1	Populus_alba__KAL3587260.1	Populus_alba_var__pyramidalis__Poalv07460.t1	Populus_davidiana__Podav07257.t1	Populus_deltoide__Podel.06G291000.1.v2.1	Populus_euphratica__Poeup27629.t1	Populus_ilicifolia__evm.model.scaffold365_cov106.2	Populus_koreana__Pokor07072.t1	Populus_lasiocarpa__Polas04789.t1	Populus_pruinosa__PprTF06G2310.1	Populus_pseudoglauca__Popse07412.t2	Populus_qiongdaoensis__Poqio15694.t1	Populus_rotundifolia__Porot09445.t1	Populus_simonii__Posim07958.t1	Populus_szechuanica__Posze04826.t1	Populus_tremula__Potra2n6c12860.1	Populus_trichocarpa__Potri.006G277800.6.v4.1	Populus_wuana__LG02_exon4_exon2_exon1_exon3_exon5_exon6.final	Populus_yunnanensis__Poyun04825.t1
OG0000036	Populus_adenopoda__Poade07652.t1	Populus_alba__KAL3603737.1	Populus_alba_var__pyramidalis__Poalv25252.t1	Populus_davidiana__Podav12727.t1	Populus_deltoide__Podel.02G126600.1.v2.1	Populus_euphratica__Poeup15583.t1	Populus_ilicifolia__evm.model.scaffold164_cov102.199	Populus_koreana__Pokor11111.t1	Populus_lasiocarpa__Polas11739.t1	Populus_pruinosa__PprTF02G1062.1	Populus_pseudoglauca__Popse11135.t1	Populus_qiongdaoensis__Poqio06912.t1	Populus_rotundifolia__Porot13343.t1	Populus_simonii__Posim09189.t1	Populus_szechuanica__Posze14031.t1	Populus_tremula__chr2_exon3.final	Populus_trichocarpa__Potri.002G115900.1.v4.1	Populus_wuana__Powua08341.t1	Populus_yunnanensis__Poyun11621.t1
OG0000037	Populus_adenopoda__Poade08096.t2	Populus_alba__KAL3572695.1	Populus_alba_var__pyramidalis__Poalv25724.t1	Populus_davidiana__Podav12259.t2	Populus_deltoide__Podel.02G073000.1.v2.1	Populus_euphratica__Poeup16066.t1	Populus_ilicifolia__evm.model.scaffold336_cov105.14	Populus_koreana__Pokor11600.t2	Populus_lasiocarpa__Polas12238.t2	Populus_pruinosa__PprTF02G0617.1	Populus_pseudoglauca__Popse10640.t2	Populus_qiongdaoensis__Poqio07343.t1	Populus_rotundifolia__Porot13832.t1	Populus_simonii__Posim08716.t2	Populus_szechuanica__Posze13517.t1	Populus_tremula__Potra2n2c5816.1	Populus_trichocarpa__Potri.002G067400.2.v4.1	Populus_wuana__Powua07863.t2	Populus_yunnanensis__Poyun12121.t2
OG0000038	Populus_adenopoda__Poade09789.t1	Populus_alba__KAL3596973.1	Populus_alba_var__pyramidalis__Poalv27490.t1	Populus_davidiana__Podav15313.t1	Populus_deltoide__Podel.04G121600.1.v2.1	Populus_euphratica__Poeup23972.t1	Populus_ilicifolia__evm.model.scaffold2971_cov84.1	Populus_koreana__Pokor13333.t1	Populus_lasiocarpa__Polas13981.t1	Populus_pruinosa__PprTF04G0874.1	Populus_pseudoglauca__Popse08784.t1	Populus_qiongdaoensis__Poqio11897.t1	Populus_rotundifolia__Porot17401.t1	Populus_simonii__Posim14508.t1	Populus_szechuanica__Posze08819.t1	Populus_tremula__Potra2n4c9450.1	Populus_trichocarpa__Potri.004G111100.1.v4.1	Populus_wuana__Powua11083.t1	Populus_yunnanensis__Poyun08872.t1
OG0000039	Populus_adenopoda__Poade10738.t1	Populus_alba__KAL3593137.1	Populus_alba_var__pyramidalis__Poalv28841.t1	Populus_davidiana__Podav16447.t2	Populus_deltoide__Podel.05G274400.1.v2.1	Populus_euphratica__Poeup37189.t1	Populus_ilicifolia__evm.model.scaffold96_cov103.19	Populus_koreana__Pokor07162.t1	Populus_lasiocarpa__Polas07625.t1	Populus_pruinosa__PprTF05G2126.1	Populus_pseudoglauca__Popse12700.t1	Populus_qiongdaoensis__Poqio12969.t1	Populus_rotundifolia__Porot11949.t1	Populus_simonii__Posim10866.t1	Populus_szechuanica__Posze10161.t1	Populus_tremula__Potra2n5c10513.1	Populus_trichocarpa__Potri.005G257900.2.v4.1	Populus_wuana__Powua12146.t1	Populus_yunnanensis__Poyun12828.t1
OG0000040	Populus_adenopoda__Poade10875.t1	Populus_alba__KAL3593011.1	Populus_alba_var__pyramidalis__Poalv28987.t1	Populus_davidiana__Podav16605.t1	Populus_deltoide__Podel.05G259400.1.v2.1	Populus_euphratica__Poeup29916.t1	Populus_ilicifolia__evm.model.scaffold96_cov103.172	Populus_koreana__Pokor07333.t1	Populus_lasiocarpa__Polas07783.t1	Populus_pruinosa__PprTF05G1985.1	Populus_pseudoglauca__Popse12864.t2	Populus_qiongdaoensis__Poqio13163.t1	Populus_rotundifolia__Porot11801.t1	Populus_simonii__Posim11025.t1	Populus_szechuanica__Posze10358.t1	Populus_tremula__Potra2n5c10648.1	Populus_trichocarpa__Potri.005G243400.3.v4.1	Populus_wuana__Powua12284.t1	Populus_yunnanensis__Poyun12974.t1
OG0000041	Populus_adenopoda__Poade11321.t1	Populus_alba__KAL3592565.1	Populus_alba_var__pyramidalis__Poalv29504.t1	Populus_davidiana__Podav17092.t1	Populus_deltoide__Podel.05G204500.1.v2.1	Populus_euphratica__Poeup29412.t1	Populus_ilicifolia__evm.model.scaffold48_cov100.22	Populus_koreana__Pokor07823.t1	Populus_lasiocarpa__Polas08298.t1	Populus_pruinosa__PprTF05G1515.1	Populus_pseudoglauca__Popse13368.t1	Populus_qiongdaoensis__Poqio13798.t1	Populus_rotundifolia__Porot11325.t1	Populus_simonii__Posim11520.t1	Populus_szechuanica__Posze10893.t1	Populus_tremula__Potra2n5c11128.4	Populus_trichocarpa__Potri.005G192900.1.v4.1	Populus_wuana__Powua12772.t1	Populus_yunnanensis__Poyun13472.t1
OG0000042	Populus_adenopoda__Poade13011.t1		Populus_alba_var__pyramidalis__Poalv21832.t1	Populus_davidiana__Podav05101.t1	Populus_deltoide__Podel.03G221100.1.v2.1	Populus_euphratica__Poeup18622.t1	Populus_ilicifolia__evm.model.scaffold12_cov109.75	Populus_koreana__Pokor18855.t2	Populus_lasiocarpa__Polas19846.t2	Populus_pruinosa__PprTF03G1727.1	Populus_pseudoglauca__Popse17251.t2	Populus_qiongdaoensis__Poqio08268.t1, Populus_qiongdaoensis__Poqio08269.t1	Populus_rotundifolia__Porot06665.t1	Populus_simonii__Posim18020.t1	Populus_szechuanica__Posze17748.t1	Populus_tremula__Potra2n3c6630.1	Populus_trichocarpa__Potri.003G204400.3.v4.1	Populus_wuana__Powua16572.t2	Populus_yunnanensis__Poyun19771.t1
OG0000043	Populus_adenopoda__Poade15729.t1	Populus_alba__KAL3582114.1	Populus_alba_var__pyramidalis__Poalv37504.t1	Populus_davidiana__Podav27261.t1	Populus_deltoide__Podel.08G139300.1.v2.1	Populus_euphratica__Poeup21569.t1	Populus_ilicifolia__evm.model.scaffold546_cov105.16	Populus_koreana__Pokor23428.t1	Populus_lasiocarpa__Polas21226.t1	Populus_pruinosa__PprTF08G1056.1	Populus_pseudoglauca__Popse26066.t1	Populus_qiongdaoensis__Poqio21650.t1	Populus_rotundifolia__Porot26584.t1	Populus_simonii__Posim21915.t1	Populus_szechuanica__Posze23151.t1	Populus_tremula__Potra2n8c17714.1	Populus_trichocarpa__Potri.008G118300.1.v4.1	Populus_wuana__Powua20340.t1	Populus_yunnanensis__Poyun22730.t1
OG0000044	Populus_adenopoda__Poade18892.t1	Populus_alba__KAL3577481.1	Populus_alba_var_pyramidalis__GWHACDA00000006_exon6_exon5_exon3_exon4.final	Populus_davidiana__LG11_exon3_exon4.final, Populus_davidiana__Podav23989.t2	Populus_deltoide__Podel.10G004200.1.v2.1	Populus_euphratica__Poeup36885.t1	Populus_ilicifolia__evm.model.scaffold926_cov107.20	Populus_koreana__Pokor14560.t1	Populus_lasiocarpa__Polas17748.t1	Populus_pruinosa__PprTF10G2160.1	Populus_pseudoglauca__Popse17541.t1		Populus_rotundifolia__Porot22151.t3	Populus_simonii__Posim20653.t1	Populus_szechuanica__Posze04885.t1	Populus_tremula__Potra2n10c22315.3	Populus_trichocarpa__Potri.010G004200.1.v4.1	Populus_wuana__Powua19169.t1	Populus_yunnanensis__Poyun15313.t1
OG0000045	Populus_adenopoda__Poade29288.t1	Populus_alba__KAL3573666.1	Populus_alba_var__pyramidalis__Poalv15078.t1	Populus_davidiana__Podav33066.t1	Populus_deltoide__Podel.13G042700.1.v2.1	Populus_euphratica__Poeup30439.t1	Populus_ilicifolia__evm.model.scaffold184_cov104.8	Populus_koreana__Pokor27580.t1	Populus_lasiocarpa__Polas31910.t1	Populus_pruinosa__PprTF13G0347.1	Populus_pseudoglauca__Popse28384.t1	Populus_qiongdaoensis__Poqio31073.t1	Populus_rotundifolia__Porot32917.t1	Populus_simonii__Posim29756.t1	Populus_szechuanica__Posze29987.t1	Populus_tremula__Potra2n13c25941.1	Populus_trichocarpa__Potri.013G040700.1.v4.1	Populus_wuana__Powua27109.t1	Populus_yunnanensis__Poyun24421.t1
OG0000046	Populus_adenopoda__Poade30488.t1	Populus_alba__KAL3569131.1	Populus_alba_var__pyramidalis__Poalv16443.t1	Populus_davidiana__Podav34528.t1	Populus_deltoide__Podel.16G053400.1.v2.1	Populus_euphratica__Poeup09658.t1	Populus_ilicifolia__evm.model.scaffold185_cov102.77	Populus_koreana__Pokor30407.t3	Populus_lasiocarpa__Polas34928.t1	Populus_pruinosa__PprTF16G0373.1	Populus_pseudoglauca__Popse35754.t1	Populus_qiongdaoensis__Poqio36239.t1	Populus_rotundifolia__Porot28116.t1	Populus_simonii__Posim36225.t1	Populus_szechuanica__Posze32239.t1	Populus_tremula__Potra2n16c29680.1	Populus_trichocarpa__Potri.016G049200.2.v4.1	Populus_wuana__Powua33653.t1	Populus_yunnanensis__Poyun35903.t1
OG0000047	Populus_adenopoda__Poade32074.t1	Populus_alba__KAL3581056.1	Populus_alba_var__pyramidalis__Poalv20190.t1	Populus_davidiana__Podav38155.t2	Populus_deltoide__Podel.09G170500.1.v2.1	Populus_euphratica__Poeup20403.t1	Populus_ilicifolia__evm.model.scaffold315_cov110.38	Populus_koreana__Pokor35497.t1	Populus_lasiocarpa__Polas37371.t1	Populus_pruinosa__PprTF09G1505.1	Populus_pseudoglauca__Popse39229.t1	Populus_qiongdaoensis__Poqio24546.t1	Populus_rotundifolia__Porot37523.t1	Populus_simonii__Posim38081.t1	Populus_szechuanica__Posze40507.t1	Populus_tremula__Potra2n9c18683.1	Populus_trichocarpa__Potri.009G164500.4.v4.1	Populus_wuana__Powua37461.t3	Populus_yunnanensis__Poyun39403.t1
OG0000048	Populus_adenopoda__Poade32330.t1		Populus_alba_var__pyramidalis__Poalv19897.t1	Populus_davidiana__Podav37893.t1	Populus_deltoide__Podel.09G140100.1.v2.1	Populus_euphratica__Poeup20146.t1	Populus_ilicifolia__evm.model.scaffold100_cov105.25	Populus_koreana__Pokor35768.t1	Populus_lasiocarpa__Polas37652.t1	Populus_pruinosa__PprTF09G1244.1	Populus_pseudoglauca__Popse38948.t1	Populus_qiongdaoensis__Poqio24221.t1	Populus_rotundifolia__Porot37257.t1	Populus_simonii__Posim38354.t1	Populus_szechuanica__Posze40213.t1	Populus_tremula__Potra2n4c9990.2, Populus_tremula__Potra2n9c18937.1	Populus_trichocarpa__Potri.009G134900.1.v4.1	Populus_wuana__Powua37184.t1	Populus_yunnanensis__Poyun39134.t1
OG0000049	Populus_adenopoda__Poade03761.t1		Populus_alba_var__pyramidalis__Poalv04461.t1	Populus_davidiana__Podav00079.t1	Populus_deltoide__Podel.01G022400.1.v2.1	Populus_euphratica__Poeup04325.t1	Populus_ilicifolia__evm.model.scaffold168_cov108.80	Populus_koreana__Pokor04295.t1	Populus_lasiocarpa__Polas00241.t1	Populus_pruinosa__PprTF01G0179.1	Populus_pseudoglauca__Popse04443.t1	Populus_qiongdaoensis__Poqio04944.t1	Populus_rotundifolia__Porot00251.t1	Populus_simonii__Posim04754.t1	Populus_szechuanica__Posze00264.t1	Populus_tremula__Potra2n1c167.1	Populus_trichocarpa__Potri.001G020200.1.v4.1	Populus_wuana__Powua00234.t1	Populus_yunnanensis__Poyun00200.t1
OG0000050	Populus_adenopoda__Poade04691.t1	Populus_alba__KAL3585626.1	Populus_alba_var__pyramidalis__Poalv05535.t1	Populus_davidiana__Podav09071.t1	Populus_deltoide__Podel.06G089700.1.v2.1	Populus_euphratica__Poeup25797.t1	Populus_ilicifolia__evm.model.scaffold262_cov103.63	Populus_koreana__Pokor05239.t1	Populus_lasiocarpa__Polas06776.t1	Populus_pruinosa__PprTF06G0702.1	Populus_pseudoglauca__Popse05491.t1	Populus_qiongdaoensis__Poqio17699.t1		Populus_simonii__Posim06096.t1	Populus_szechuanica__Posze06818.t1	Populus_tremula__Potra2n6c14620.1	Populus_trichocarpa__Potri.006G083000.1.v4.1	Populus_wuana__Powua06456.t1	Populus_yunnanensis__Poyun06798.t1
OG0000051	Populus_adenopoda__Poade04971.t1	Populus_alba__KAL3585885.1	Populus_alba_var__pyramidalis__Poalv05845.t1	Populus_davidiana__Podav08779.t1	Populus_deltoide__Podel.06G124000.1.v2.1	Populus_euphratica__Poeup26094.t1	Populus_ilicifolia__evm.model.scaffold10_cov104.228	Populus_koreana__Pokor05542.t1	Populus_lasiocarpa__Polas06454.t2	Populus_pruinosa__PprTF06G0967.1	Populus_pseudoglauca__Popse05802.t1	Populus_qiongdaoensis__Poqio17356.t1	Populus_rotundifolia__Porot07991.t1	Populus_simonii__Posim06403.t1	Populus_szechuanica__Posze06506.t2		Populus_trichocarpa__Potri.006G114600.1.v4.1	Populus_wuana__Powua06175.t1	Populus_yunnanensis__Poyun06490.t1
OG0000052	Populus_adenopoda__Poade07193.t1	Populus_alba__KAL3604180.1	Populus_alba_var__pyramidalis__Poalv24793.t1	Populus_davidiana__Podav13205.t1	Populus_deltoide__Podel.02G186400.1.v2.1		Populus_ilicifolia__evm.model.scaffold130_cov102.107	Populus_koreana__Pokor10611.t4	Populus_lasiocarpa__Polas11210.t1	Populus_pruinosa__PprTF02G1525.1	Populus_pseudoglauca__Popse11648.t1	Populus_qiongdaoensis__Poqio06318.t1	Populus_rotundifolia__Porot12859.t2	Populus_simonii__Posim09701.t1	Populus_szechuanica__Posze14559.t3	Populus_tremula__Potra2n2c4901.2	Populus_trichocarpa__Potri.002G167100.2.v4.1	Populus_wuana__Powua08844.t1	Populus_yunnanensis__Poyun11068.t1
OG0000053	Populus_adenopoda__Poade08861.t1	Populus_alba__KAL3597872.1	Populus_alba_var__pyramidalis__Poalv28673.t1	Populus_davidiana__Podav14363.t1	Populus_deltoide__Podel.04G224800.1.v2.1	Populus_euphratica__Poeup22823.t1	Populus_ilicifolia__evm.model.scaffold360_cov106.150	Populus_koreana__Pokor14351.t1	Populus_lasiocarpa__Polas15062.t1	Populus_pruinosa__PprTF04G1737.1	Populus_pseudoglauca__Popse07661.t1	Populus_qiongdaoensis__Poqio10679.t1	Populus_rotundifolia__Porot16403.t2	Populus_simonii__Posim13466.t1	Populus_szechuanica__Posze09942.t1		Populus_trichocarpa__Potri.004G219100.1.v4.1	Populus_wuana__Powua09986.t1	Populus_yunnanensis__Poyun07742.t1
OG0000054	Populus_adenopoda__Poade09233.t2	Populus_alba__KAL3597498.1	Populus_alba_var__pyramidalis__Poalv28213.t1	Populus_davidiana__Podav14754.t1	Populus_deltoide__Podel.04G177500.1.v2.1	Populus_euphratica__Poeup23228.t1	Populus_ilicifolia__evm.model.scaffold152_cov107.55	Populus_koreana__Pokor13937.t4	Populus_lasiocarpa__Polas14621.t1	Populus_pruinosa__PprTF04G1381.1	Populus_pseudoglauca__Popse08126.t1	Populus_qiongdaoensis__Poqio11224.t1	Populus_rotundifolia__Porot16809.t2	Populus_simonii__Posim13892.t1	Populus_szechuanica__Posze09495.t4		Populus_trichocarpa__Potri.004G175200.4.v4.1	Populus_wuana__Powua10419.t1	Populus_yunnanensis__Poyun08220.t1
OG0000055	Populus_adenopoda__Poade16829.t1	Populus_alba__KAL3579548.1	Populus_alba_var__pyramidalis__Poalv31230.t1		Populus_deltoide__Podel.10G255800.1.v2.1	Populus_euphratica__Poeup34391.t1	Populus_ilicifolia__evm.model.scaffold1846_cov110.61, Populus_ilicifolia__evm.model.scaffold1846_cov110.64	Populus_koreana__Pokor16852.t1	Populus_lasiocarpa__Polas15321.t1	Populus_pruinosa__PprTF10G0074.1	Populus_pseudoglauca__Popse19909.t1	Populus_qiongdaoensis__Poqio27322.t1	Populus_rotundifolia__Porot19952.t1	Populus_simonii__Posim18356.t1	Populus_szechuanica__Posze20348.t1		Populus_trichocarpa__Potri.010G248300.2.v4.1	Populus_wuana__Powua16828.t1	Populus_yunnanensis__Poyun17730.t1
OG0000056	Populus_adenopoda__Poade21910.t1	Populus_alba__KAL3571452.1	Populus_alba_var__pyramidalis__Poalv07557.t1	Populus_davidiana__Podav22283.t1	Populus_deltoide__Podel.14G012700.1.v2.1		Populus_ilicifolia__evm.model.scaffold356_cov103.131	Populus_koreana__Pokor20805.t1	Populus_lasiocarpa__Polas25649.t1	Populus_pruinosa__PprTF14G1510.1	Populus_pseudoglauca__Popse24818.t1	Populus_qiongdaoensis__Poqio32232.t1	Populus_rotundifolia__Porot23969.t1	Populus_simonii__Posim26367.t1	Populus_szechuanica__Posze26050.t1	Populus_tremula__Potra2n14c26404.1	Populus_trichocarpa__Potri.014G013400.1.v4.1	Populus_wuana__Powua24583.t1	Populus_yunnanensis__Poyun27415.t1
OG0000057	Populus_adenopoda__Poade22862.t1	Populus_alba__KAL3565629.1		Populus_davidiana__Podav23606.t1	Populus_deltoide__Podel.19G089700.1.v2.1, Populus_deltoide__Podel.19G096300.1.v2.1, Populus_deltoide__Podel.T188200.1.v2.1	Populus_euphratica__Poeup33327.t1		Populus_koreana__Pokor25471.t1	Populus_lasiocarpa__Polas29673.t1	Populus_pruinosa__PprTF19G0581.1	Populus_pseudoglauca__Popse20327.t1		Populus_rotundifolia__Porot18721.t2	Populus_simonii__Posim27556.t1	Populus_szechuanica__Posze21606.t1	Populus_tremula__Potra2n19c33496.1	Populus_trichocarpa__Potri.019G091900.1.v4.1	Populus_wuana__Powua25524.t1	Populus_yunnanensis__Poyun28588.t1
OG0000058	Populus_adenopoda__Poade25063.t1	Populus_alba__KAL3570848.1		Populus_davidiana__Podav32244.t1	Populus_deltoide__Podel.15G051500.1.v2.1	Populus_euphratica__Poeup38371.t1	Populus_ilicifolia__evm.model.scaffold4416_cov112.1	Populus_koreana__Pokor34972.t1	Populus_lasiocarpa__Polas31015.t1	Populus_pruinosa__PprTF15G0408.1	Populus_pseudoglauca__Popse32258.t1	Populus_qiongdaoensis__Poqio35234.t1	Populus_rotundifolia__Porot34288.t1	Populus_simonii__Posim28830.t1	Populus_szechuanica__Posze36804.t1	Populus_tremula__Potra2n15c28778.1	Populus_trichocarpa__Potri.015G047700.1.v4.1	Populus_wuana__Powua32789.t1	Populus_yunnanensis__Poyun31446.t1
OG0000059	Populus_adenopoda__Poade32634.t5	Populus_alba__KAL3580513.1	Populus_alba_var__pyramidalis__Poalv19519.t1	Populus_davidiana__Podav37571.t2	Populus_deltoide__Podel.09G104000.1.v2.1		Populus_ilicifolia__evm.model.scaffold842_cov103.75	Populus_koreana__Pokor36089.t7	Populus_lasiocarpa__Polas37979.t4	Populus_pruinosa__PprTF09G0934.1	Populus_pseudoglauca__Popse38608.t10	Populus_qiongdaoensis__Poqio23859.t1	Populus_rotundifolia__Porot36925.t1	Populus_simonii__Posim38668.t4	Populus_szechuanica__Posze39869.t5	Populus_tremula__Potra2n9c19233.1	Populus_trichocarpa__Potri.009G101200.2.v4.1	Populus_wuana__Powua36853.t6	Populus_yunnanensis__Poyun38798.t6
OG0000060	Populus_adenopoda__Poade02703.t1	Populus_alba__KAL3610209.1	Populus_alba_var__pyramidalis__Poalv04249.t1	Populus_davidiana__Podav01471.t1		Populus_euphratica__GWHAAYU00000002_exon6_exon4_exon3_exon2_exon5_exon7_2dom.final		Populus_koreana__Pokor03155.t1	Populus_lasiocarpa__Polas01408.t2	Populus_pruinosa__PprTF01G1160.1	Populus_pseudoglauca__Popse03272.t1	Populus_qiongdaoensis__Poqio03623.t1	Populus_rotundifolia__Porot01337.t1	Populus_simonii__Posim03605.t1	Populus_szechuanica__Posze01450.t1	Populus_tremula__Potra2n1c1159.1	Populus_trichocarpa__Potri.001G136000.2.v4.1	Populus_wuana__Powua01322.t1	Populus_yunnanensis__Poyun01361.t1
OG0000061	Populus_adenopoda__Poade11981.t1	Populus_alba__KAL3591902.1		Populus_davidiana__Podav17834.t1		Populus_euphratica__GWHAAYU00000007_exon13.final	Populus_ilicifolia__evm.model.scaffold526_cov104.16	Populus_koreana__Pokor08609.t1	Populus_lasiocarpa__Polas09198.t1	Populus_pruinosa__PprTF05G0847.1	Populus_pseudoglauca__Popse14174.t1	Populus_qiongdaoensis__Poqio14530.t1	Populus_rotundifolia__Porot10569.t1	Populus_simonii__Posim12326.t1	Populus_szechuanica__Posze11754.t1	Populus_tremula__Potra2n5c11840.1	Populus_trichocarpa__Potri.005G109500.2.v4.1	Populus_wuana__Powua13584.t1	Populus_yunnanensis__Poyun14279.t1
OG0000062	Populus_adenopoda__Poade23530.t1	Populus_alba__KAL3568220.1	Populus_alba_var__pyramidalis__Poalv09808.t1	Populus_davidiana__Podav18988.t1	Populus_deltoide__Podel.17G110700.1.v2.1	Populus_euphratica__Poeup08208.t1	Populus_ilicifolia__evm.model.scaffold203_cov105.62	Populus_koreana__Pokor26387.t1	Populus_lasiocarpa__Polas33500.t1		Populus_pseudoglauca__Popse34228.t1	Populus_qiongdaoensis__Poqio37565.t1	Populus_rotundifolia__Porot15698.t1	Populus_simonii__Posim37540.t1	Populus_szechuanica__Posze28424.t1	Populus_tremula__Potra2n17c30999.1	Populus_trichocarpa__Potri.017G106700.2.v4.1		Populus_yunnanensis__Poyun32925.t1
OG0000063	Populus_adenopoda__Poade30269.t1	Populus_alba__KAL3568887.1	Populus_alba_var__pyramidalis__Poalv16732.t1	Populus_davidiana__Podav34761.t1	Populus_deltoide__Podel.16G028000.1.v2.1		Populus_ilicifolia__evm.model.scaffold1873_cov107.33	Populus_koreana__Pokor30183.t1	Populus_lasiocarpa__Polas34682.t1		Populus_pseudoglauca__Popse35995.t1	Populus_qiongdaoensis__Poqio35982.t1	Populus_rotundifolia__Porot27890.t1	Populus_simonii__Posim36453.t1	Populus_szechuanica__Posze32483.t1	Populus_tremula__Potra2n16c29445.1	Populus_trichocarpa__Potri.016G024000.1.v4.1	Populus_wuana__Powua33427.t1	Populus_yunnanensis__Poyun36138.t1
OG0000064	Populus_adenopoda__LG17_exon1_exon4_exon2_exon3_exon5.final	Populus_alba__KAL3569774.1	Populus_alba_var__pyramidalis__Poalv15682.t1	Populus_davidiana__Podav00031.t1	Populus_deltoide__Podel.16G127700.1.v2.1	Populus_euphratica__Poeup08905.t1	Populus_ilicifolia__evm.model.scaffold123_cov104.9	Populus_koreana__LG15_exon2_exon4_exon3_exon5.final	Populus_lasiocarpa__LG17_exon1_exon3_exon2.final		Populus_pseudoglauca__Popse35011.t1		Populus_rotundifolia__Porot28830.t1	Populus_simonii__LG17_exon1_exon4_exon2_exon3_exon5.final	Populus_szechuanica__Posze31430.t1	Populus_tremula__Potra2n16c30376.1	Populus_trichocarpa__Chr16_exon1_exon3_exon2_exon4.final	Populus_wuana__LG17_exon2_exon5_exon3_exon4_exon6.final	Populus_yunnanensis__Poyun35137.t1
OG0000065	Populus_adenopoda__Poade32876.t1	Populus_alba__KAL3580118.1		Populus_davidiana__Podav36695.t1	Populus_deltoide__Podel.09G076800.1.v2.1		Populus_ilicifolia__evm.model.scaffold4_cov105.293	Populus_koreana__Pokor36356.t1	Populus_lasiocarpa__Polas38244.t1	Populus_pruinosa__PprTF09G0692.1	Populus_pseudoglauca__Popse38344.t1		Populus_rotundifolia__Porot36547.t1	Populus_simonii__Posim38932.t1	Populus_szechuanica__Posze39596.t1	Populus_tremula__chr9_exon1.final	Populus_trichocarpa__Potri.009G075000.2.v4.1	Populus_wuana__Powua36599.t1	Populus_yunnanensis__Poyun38538.t1
